id,type,FillPercentage,Battery,eventDate,updateState,Distance
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,798
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,800
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,804
5c2bf397530484f84463,Fill level,79,56,2018-09-25,True,613
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,792
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,806
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,804
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,812
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,817
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,799
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,803
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,801
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,799
5c2bf397530484f84463,Fill level,82,56,2018-09-25,True,559
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,813
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,792
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,792
5c2bf397530484f84463,Fill level,79,56,2018-09-25,True,619
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,807
5c2bf397530484f84463,Fill level,85,56,2018-09-25,True,485
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,795
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,813
5c2bf397530484f84463,Fill level,78,56,2018-09-25,True,636
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,808
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,818
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,798
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,808
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,807
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,808
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,815
5c2bf397530484f84463,Fill level,78,56,2018-09-25,True,633
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,804
5c2bf397530484f84463,Fill level,80,56,2018-09-25,True,596
5c2bf397530484f84463,Fill level,80,56,2018-09-25,True,600
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,810
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,815
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,816
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,818
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,814
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,816
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,814
5c2bf397530484f84463,Fill level,70,56,2018-09-25,True,795
5c2bf397530484f84463,Fill level,69,56,2018-09-25,True,815
